local_name_unique,macro_area_tourist_presences_2024_m_istat,avg_spend_eur_synth,seats_synth,employees_synth,revenue_eur_synth,profit_margin_derived_synth,digital_presence_score_synth,restaurants_1km_synth,reputation_score_synth,macro_area_Nord,macro_area_Sud_Isole,restaurant_type_bar,restaurant_type_bistrot,restaurant_type_braceria,restaurant_type_cafe,restaurant_type_caffetteria,restaurant_type_gastronomia,restaurant_type_gelateria,restaurant_type_griglieria,restaurant_type_osteria,restaurant_type_panetteria,restaurant_type_panineria,restaurant_type_pasticceria,restaurant_type_pizzeria,restaurant_type_pub,restaurant_type_restaurant,restaurant_type_steakhouse,restaurant_type_street food,restaurant_type_trattoria,restaurant_type_wine bar,restaurant_type_wine_bar,y_manager,y_pay,y_giftcard,y_pro
Glam Enrico Bartolini - Venice,1.0,0.5496035254611746,0.39252336448598124,0.18181818181818182,0.2832135367325441,0.04387716726566879,0.43308030698325495,0.5416666666666666,0.6240107062621705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0
Acquolina - Rome,0.14479105356091826,0.7957086117133474,0.7757009345794391,0.7272727272727273,0.9712065104532525,0.13245171683493742,0.4329334674870219,0.45833333333333337,0.2518598448828428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1
L'Olivo - Anacapri,0.0,0.3562152751606591,0.24299065420560748,0.09090909090909088,0.07223181844585037,0.7141762614107076,0.3089268833013784,0.04166666666666666,0.9867547494843139,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Santa Elisabetta - Florence,0.14479105356091826,0.5970481141556568,0.6448598130841121,0.45454545454545453,0.49255057325428114,0.29114199872098523,0.5185193368950056,0.375,0.8011431295925355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
George Restaurant - Naples,0.0,0.6539773866599056,0.49532710280373826,0.45454545454545453,0.39979649778772897,0.2513782293564143,0.08846631270316513,0.7083333333333334,0.6890272786656018,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
Oro Restaurant - Venice,1.0,0.8241070900669347,0.28037383177570097,0.18181818181818182,0.32756557724396423,0.0569447209854573,0.25572884296022647,0.8333333333333334,0.7088749444909228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
Aroma - Rome,0.14479105356091826,0.5853438200255129,0.8785046728971961,0.8181818181818181,0.8031826830454675,0.30040396855219875,0.3360097172660901,0.8749999999999999,0.6370651723711522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1
La Sala dei Grappoli - Montalcino,0.14479105356091826,0.6915771513721715,0.5327102803738317,0.3636363636363636,0.4932343193108199,0.907235430232568,0.2640487728982607,0.29166666666666663,0.7014520911085615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
Due Camini - Savelletri,0.0,0.6787479990057481,0.5046728971962616,0.27272727272727276,0.37683852594518835,0.7245741466140336,0.03573612786289987,0.16666666666666666,0.6322640733461924,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
Borgo San Jacopo - Florence,0.14479105356091826,0.7392643222568549,0.5981308411214953,0.5454545454545454,0.6885907740954516,0.46755643311116324,0.38870675046999104,0.625,0.6881085443050821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1
Terrazza Bosquet - Sorrento,0.0,0.7209880248906538,0.205607476635514,0.09090909090909088,0.1852360757657563,0.9884297132741311,0.5268302185217983,0.45833333333333337,0.3693721478424264,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
Vespasia - Norcia,0.14479105356091826,1.0,0.44859813084112143,0.18181818181818182,0.6652116503326594,0.3339377609632943,0.411180668368209,0.24999999999999997,0.6419455156328921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
Zash - Archi,0.0,0.7957474540634899,0.44859813084112143,0.27272727272727276,0.4960208564585939,0.9256012326303253,0.6956057992560637,0.20833333333333334,0.7042661598526208,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
Il Pievano - Gaiole in Chianti,0.14479105356091826,0.3067449070523628,0.3271028037383177,0.27272727272727276,0.13213756154526962,0.566627121058983,0.38014961343483966,0.20833333333333334,0.4344352865923535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
Amistà - Corrubbio,1.0,0.7355929662924556,0.28971962616822433,0.09090909090909088,0.3580650691054818,0.9917361497640691,0.9070210933446722,0.24999999999999997,0.4773086701022215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
La Terrazza - Rome,0.14479105356091826,0.8077744559920557,0.5046728971962616,0.45454545454545453,0.46784871799656796,0.4309820957560243,0.777371322659769,0.5416666666666666,0.622915603423045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
La Torre - Tavarnelle Val di Pesa,0.14479105356091826,0.5545526997151031,0.8317757009345793,0.6363636363636365,0.5182555366364564,0.8200403378642962,0.1795220335437353,0.41666666666666663,0.5592742435846476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
Relais Blu - Massa Lubrense,0.0,0.75592596571736,0.5794392523364486,0.5454545454545454,0.5881454745442334,0.2734712735099768,0.7100261269034106,0.33333333333333337,0.8165818531590987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
Il Falconiere - San Martino,0.0,0.5816347997737006,0.3177570093457943,0.18181818181818182,0.2292245257038245,0.35610280188224674,0.7301277438475754,0.24999999999999997,0.7670224803110144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
La Trattoria Enrico Bartolini - Castiglione della Pescaia,0.14479105356091826,0.7589256119967047,0.7102803738317757,0.45454545454545453,0.728360131704507,0.5784168196821183,0.5644278458745405,0.24999999999999997,0.42618953297352397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1
Poggio Rosso - Castelnuovo Berardenga,0.14479105356091826,0.862696760856278,0.7289719626168224,0.6363636363636365,0.8221063746283019,0.4223440245511162,0.9999999999999999,0.20833333333333334,0.5570158684634374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
