Ragione_Sociale,id,cciaa,nat_giuridica,anno_iscrizione_sezione_startup,anno_iscrizione_registro_imprese,anno_inizio_attivit,ateco_2007,settore,attivita,regione,sezione_attivita,classe_addetti,classe_valore_produzione,alto_valore_tecnologico,classe_capitale_sociale,spese_ricerca_sviluppo,prevalenza_femminile,prevalenza_giovanile,prevalenza_straniera,stato_impresa_label,classificazione,provincia,Macro_Area,Dipendenti_Sintetici,Fatturato_Sintetico,Utile_Sintetico,Prod_Firewall,Prod_Endpoint_Security,Prod_Cloud_Security,Prod_SOC_Gestito
Mazzini Group,1,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,ABRUZZO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,Non Disponibile,SI,Da 10 a 50mila euro,SI,Maggioritaria,NO,NO,Attive,software_rd,AQ,Sud_Isole,2.0,100334.46,915.82,1,1,1,0
Majewski s.r.l.,2,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2019,2019.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 50 a 100mila euro,SI,NO,NO,NO,Attive,software_informatica,AQ,Sud_Isole,5.0,416402.57,-1034.41,0,0,1,0
"Cusano, Tomasetti e Lerner SPA",3,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,829999,SERVIZI,N 82 ATTIVITA' DI SUPPORTO PER LE FUNZIONI D'UFFICIO E ALTRI SERV,LAZIO,"N NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRE...",0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,Esclusiva,NO,Attive,servizi_non_finanziari,RM,Centro,15.0,1166117.93,144860.99,1,0,0,0
Gritti-Rossini Group,4,AQ,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2020,2020,2020.0,5813,SERVIZI,J 58 ATTIVITA' EDITORIALI,ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,Forte,,NO,Attive,servizi_non_finanziari,AQ,Sud_Isole,5.0,562226.43,-60371.96,0,0,0,0
"Scarpetta, Altera e Pepe s.r.l.",5,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,100.001 - 500.000 euro,NO,Da 50 a 100mila euro,SI,NO,NO,NO,Attive,software_informatica,AQ,Sud_Isole,5.0,581027.17,6472.17,0,0,0,0
Bonolis Group,6,AQ,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",ABRUZZO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,AQ,Sud_Isole,5.0,413298.59,-36695.88,0,0,1,0
Ruffini Group,7,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,13.0,911090.2,-137213.97,0,0,0,1
Carducci s.r.l.,8,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 250 a 500mila euro,,NO,NO,NO,Attive,software_informatica,MI,Nord,11.0,1150763.86,164916.77,1,1,0,0
Camuccini s.r.l.,9,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 50 a 100mila euro,SI,NO,NO,Esclusiva,Attive,software_informatica,MI,Nord,5.0,458677.77,37794.19,1,1,0,0
Geraci-Zaccagnini Group,10,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,5829,SERVIZI,J 58 ATTIVITA' EDITORIALI,LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,ott-19,1.000.001 - 2.000.000 euro,NO,Da 5 a 10mila euro,SI,Forte,NO,NO,Attive,servizi_non_finanziari,RM,Centro,1.0,64239.18,6077.01,0,0,0,0
