Ragione_Sociale,Dipendenti_Sintetici,Fatturato_Sintetico,Utile_Sintetico,classificazione_servizi_finanziari,classificazione_servizi_non_finanziari,classificazione_software_informatica,classificazione_software_rd,Macro_Area_Nord,Macro_Area_Sud_Isole,Prod_Firewall,Prod_Endpoint_Security,Prod_Cloud_Security,Prod_SOC_Gestito
Mazzini Group,0.02040816326530612,0.007695588788114468,0.5946504317875564,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Majewski s.r.l.,0.08163265306122448,0.05603353573361925,0.5936674081906904,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
"Cusano, Tomasetti e Lerner SPA",0.28571428571428564,0.1706914216427988,0.6672067450249056,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gritti-Rossini Group,0.08163265306122448,0.0783351403088759,0.5637580068225384,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Scarpetta, Altera e Pepe s.r.l.",0.08163265306122448,0.08121043567687815,0.5974511389669382,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bonolis Group,0.08163265306122448,0.05555882785954771,0.5756920583555808,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Ruffini Group,0.24489795918367344,0.13168869883608314,0.5250253911512552,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Carducci s.r.l.,0.2040816326530612,0.16834324352050245,0.6773159654725203,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Camuccini s.r.l.,0.08163265306122448,0.06249890288094267,0.6132391664106275,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Geraci-Zaccagnini Group,0.0,0.0021753490852759244,0.5972519565092089,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Praga, Pagnotto e Paolini Group",0.10204081632653061,0.07199278813767608,0.6326068629183793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Fabbri, Bonomo e Tanzini e figli",0.16326530612244897,0.07865718059639985,0.6262804054610046,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Finetti, Giannelli e Garibaldi SPA",0.0,0.010240911118565992,0.5954000828616363,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
"Grisoni, Pirandello e Venturi SPA",0.08163265306122448,0.038011372220374415,0.5783367654872791,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Pirandello s.r.l.,0.38775510204081626,0.19196693027835807,0.5185922201648647,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
"Schiavo, Schiaparelli e Infantino s.r.l.",0.061224489795918366,0.029956194488738822,0.5872618191055222,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucciano-Speri e figli,0.02040816326530612,0.021165672087617767,0.5957893294183028,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Fuseli-Fittipaldi Group,0.4285714285714285,0.26660113300591926,0.4562708689884138,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"Segrè, Errani e Brunelleschi e figli",0.02040816326530612,0.025508903960573575,0.6022641000813721,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
Montanelli-Mazzacurati e figli,0.9591836734693877,0.70675303799627,0.2562064557728221,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Gadda-Piccio Group,0.061224489795918366,0.027046641630742416,0.5973149734918622,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Moneta-Mengolo SPA,0.04081632653061225,0.021831584165775814,0.5925341458972185,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Chiesa e figli,0.0,0.008835433358762485,0.5903525949379801,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Mengolo-Filangieri SPA,0.04081632653061225,0.023432303619558,0.5845958610060694,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Guinizzelli-Opizzi SPA,0.7959183673469387,0.4195793187569611,0.7270914126558131,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
"Montanelli, Staglieno e Parini e figli",0.08163265306122448,0.04826429793007406,0.5977604171641586,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Cristoforetti e figli,0.02040816326530612,0.009982624937532464,0.5903570255832971,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Paoletti-Pininfarina Group,0.4081632653061224,0.2969827886975108,0.6202380284807828,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Sorrentino-Musatti s.r.l.,0.22448979591836735,0.17749320192992143,0.5865498007935995,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
Niggli-Carfagna s.r.l.,0.16326530612244897,0.06683615192796735,0.6027254819794842,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"Donà, Sgarbi e Mascagni SPA",0.08163265306122448,0.06128367348008074,0.6136465639954923,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Altera-Pacomio e figli,0.04081632653061225,0.029236210633070376,0.6009678313727643,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Foa, Rienzo e Chindamo SPA",0.061224489795918366,0.03261270531450482,0.5962099584524929,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tomasini-Bignami SPA,0.2040816326530612,0.12653616434906031,0.6237212617016101,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
"Gozzi, Gagliardi e Polizzi SPA",0.24489795918367344,0.2480814849758135,0.6652780785657249,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
"Versace, Giammusso e Rizzo Group",0.5918367346938774,0.5804878473343589,0.40105095007728797,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Solari s.r.l.,0.04081632653061225,0.052470137386574335,0.5867833396546056,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
"Agostinelli, Zarlino e Cristoforetti e figli",0.04081632653061225,0.046362481138231285,0.5913688004894778,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
"Pellico, Maglio e Ortolani e figli",0.02040816326530612,0.010428024305432222,0.5866011993036073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubbia-Parmitano SPA,0.0,0.0018953659841286939,0.5988582191734386,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
"Peano, Bonanno e Ramazzotti e figli",0.26530612244897955,0.12414831024181222,0.5074356788374913,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
